FIPS,County,State,pm10,avg_temp,RUCC_2023,asthma_rate,ped_TOTAL_HOUSING_VULN,loc_Metro,loc_Rural-Adjacent,loc_Rural-Isolated,Final_Predicted_Rate,ML_Predicted_Asthma,Residual,Abs_Error,Test_Predicted_Rate,Test_Abs_Error,Error_Percentage
45055,Kershaw,South Carolina,13.443454680031277,63.62777777777778,2,68.05642307,0.26652021668516296,TRUE,FALSE,FALSE,44.45163703599116,46.05865175048493,21.997771318515078,21.997771318515078,44.45163703599116,23.604786033008843,34.68414143522762
45053,Jasper,South Carolina,15.779690647631465,67.39722222222223,3,84.92001137,0.24636937916044013,TRUE,FALSE,FALSE,74.99285507362858,75.95128554505351,8.968725821946492,8.968725821946492,74.99285507362858,9.927156293371425,11.690008201328537
45051,Horry,South Carolina,15.907557859772975,64.77037037037037,2,70.45381841,0.15657333602462017,TRUE,FALSE,FALSE,56.94160670975987,57.82769650277029,12.626121906229706,12.626121906229706,56.94160670975987,13.512211699240126,19.17882097006971
45049,Hampton,South Carolina,15.537073997023354,66.22500000000001,8,161.056689,0.49419012327005973,FALSE,TRUE,FALSE,108.1370348805757,112.90837937793393,48.14830963206609,48.14830963206609,108.1370348805757,52.919654129424316,32.857780980545634
45047,Greenwood,South Carolina,14.861996374720245,63.56759259,4,67.97462608,0.28729417055024115,FALSE,TRUE,FALSE,60.02757553106216,60.26824370227257,7.706382377727422,7.706382377727422,60.02757553106216,7.947050548937831,11.691201566279851
45045,Greenville,South Carolina,14.559383202099738,61.4962963,2,48.30258436,0.22780952015096667,TRUE,FALSE,FALSE,45.152235697418384,45.41893978933654,2.883644572,2.883644572,45.152235697418384,3.1503486635816174,6.522112026215394
45043,Georgetown,South Carolina,17.975822050290134,65.17592592592592,4,96.76245262,0.22402679498065853,FALSE,TRUE,FALSE,88.56425690923041,90.52983315089578,6.232619466104211,6.232619466104211,88.56425690923041,8.198195707769585,8.472496806399946
45041,Florence,South Carolina,14.648475533314306,65.3,3,79.13945925,0.3500598328650148,TRUE,FALSE,FALSE,68.09805588744229,68.48315775,10.656301493866593,10.656301493866593,68.09805588744229,11.041403357557712,13.951830683320349
45039,Fairfield,South Carolina,14.389136441076236,63.36296296296296,2,85.94259228,0.3646325565848535,TRUE,FALSE,FALSE,58.736756065626544,59.85148327646033,26.09110900353967,26.09110900353967,58.736756065626544,27.205836214373456,31.655824536612936
45037,Edgefield,South Carolina,14.882993222363424,64.79074074074073,2,63.65398347,0.27349080849252727,TRUE,FALSE,FALSE,59.86932757904342,60.00396936374855,3.6500141062514473,3.6500141062514473,59.86932757904342,3.7846558909565786,5.945670144493439
45035,Dorchester,South Carolina,15.648648061680854,66.62314814814815,2,83.43914384,0.1647011236276958,TRUE,FALSE,FALSE,59.92725201034663,62.037859334878874,21.40128450712112,21.40128450712112,59.92725201034663,23.511891831653365,28.178491232095315
45033,Dillon,South Carolina,14.166537507717734,64.75092592592593,6,124.4433516,0.6089062702766471,FALSE,TRUE,FALSE,95.85536431241844,98.59428669,25.849064908538907,25.849064908538907,95.85536431241844,28.587987287581555,22.97269152591801
45031,Darlington,South Carolina,12.959053743536812,64.56666666666666,3,64.29873122,0.4081227583039312,TRUE,FALSE,FALSE,56.47722392874297,57.269072584208885,7.029658635791108,7.029658635791108,56.47722392874297,7.821507291257021,12.164326018340088
45029,Colleton,South Carolina,15.654308902668324,66.52407407407408,6,123.1944638,0.5238956059629798,FALSE,TRUE,FALSE,115.01787978058341,115.99188323188692,7.202580568113078,7.202580568113078,115.01787978058341,8.176584019,6.637135929006398
45027,Clarendon,South Carolina,14.984070253762578,65.34259259,8,116.569126,0.479109842,FALSE,TRUE,FALSE,96.37620956092708,98.07831127,18.490814728156494,18.490814728156494,96.37620956092708,20.192916439072917,17.32269695414283
45025,Chesterfield,South Carolina,11.17231638418079,63.44537037037038,6,41.29471063,0.46725567,FALSE,TRUE,FALSE,54.185069673508565,49.88169074913265,-8.586980116,8.586980116,54.185069673508565,12.890359040508564,31.21552092971307
45023,Chester,South Carolina,14.089913388653034,62.32314814814814,1,88.90242889,0.3217913931519353,TRUE,FALSE,FALSE,47.46883333330787,49.93249777498511,38.969931117014895,38.969931117014895,47.46883333330787,41.43359555869213,46.605695789286344
