FIPS,pm10,avg_temp,ped_E_RENTER,ped_E_MOBILE,ped_E_GROUPQ,RUCC_2023,asthma_rate,ped_TOTAL_HOUSING_VULN,loc_Metro,loc_Rural-Adjacent,loc_Rural-Isolated,County Name,ML_Predicted_Asthma,Residual,Abs_Error,Test_Predicted_Rate,Test_Abs_Error,Error_Percentage
45071,14.543687224921385,63.577777777777776,0.13852629358088508,0.1409840181444169,0.016868927686059396,6,76.556456069,0.2963792394113614,False,True,False,newberry,61.43132443221333,15.125131636786676,15.125131636786676,60.39958116747042,16.156874901529584,21.1045230293412
45065,15.106904484886046,64.17962962962963,0.048260160909973655,0.07662262449715634,0.022755930087390762,8,60.666564276,0.14763871549452076,False,True,False,mccormick,57.4202378453406,3.2463264306594013,3.2463264306594013,56.25103618853741,4.41552808746259,7.278355285416081
45069,13.199617186962046,64.38703703703703,0.2127358002633064,0.19688489749858948,0.03738992853112658,6,45.632088936,0.4470106262930225,False,True,False,marlboro,66.7892284616505,-21.157139525650493,21.157139525650493,69.35239013362356,23.720301197623556,51.98162466524773
45067,15.09893460153968,65.12685185185185,0.2416379398877174,0.23177991921128305,0.003803488292482542,6,129.20512057,0.47722134739148303,False,True,False,marion,93.67109012180745,35.53403044819254,35.53403044819254,91.91948942749922,37.285631142500776,28.85770391917276
45063,14.484575225439013,64.80555555555556,0.15621971063194443,0.13395795632186178,0.006400351221764105,2,33.730167501,0.2965780181755703,True,False,False,lexington,58.89082116290114,-25.160653661901144,25.160653661901144,60.374633980170955,26.64446647917096,78.99298596243565
45061,13.377374458488902,64.45462962962964,0.2127625022649031,0.30702437035694874,0.1416595196392261,8,98.383292101,0.6614463922610779,False,True,False,lee,99.07077820520658,-0.6874861042065845,0.6874861042065845,99.12832883196884,0.7450367309688488,0.7572797322171292
45059,14.575234666848589,62.795370370370364,0.17734834558823528,0.20498161764705883,0.016760110294117645,2,64.955418176,0.3990900735294118,True,False,False,laurens,62.801495790441855,2.1539223855581398,2.1539223855581398,62.59140953404878,2.364008641951216,3.6394325651877333
45057,13.371307151218423,62.471296296296295,0.09192099251108994,0.06956532469794294,0.01175933971674206,1,28.867920939,0.17324565692577495,True,False,False,lancaster,36.48078178268937,-7.6128608436893686,7.6128608436893686,37.70839528989352,8.840474350893516,30.623869206147802
45055,13.443454680031277,63.62777777777778,0.11024592448451127,0.1537403021227646,0.0025339900778870664,2,68.056423069,0.26652021668516296,True,False,False,kershaw,46.05865175048493,21.997771318515078,21.997771318515078,44.45163703599116,23.604786033008843,34.68414143522762
45053,15.779690647631465,67.39722222222223,0.10536294887469999,0.12894353122311278,0.012062899062627358,3,84.920011367,0.24636937916044013,True,False,False,jasper,75.95128554505351,8.968725821946492,8.968725821946492,74.99285507362858,9.927156293371425,11.690008201328537
45051,15.907557859772975,64.77037037037037,0.09271797875519923,0.05905438040805338,0.0048009768613675756,2,70.453818409,0.15657333602462017,True,False,False,horry,57.82769650277029,12.626121906229706,12.626121906229706,56.94160670975987,13.512211699240126,19.17882097006971
45049,15.537073997023354,66.22500000000001,0.18866006201315888,0.25115964607123953,0.054370415185661346,8,161.05668901,0.49419012327005973,False,True,False,hampton,112.90837937793393,48.14830963206609,48.14830963206609,108.1370348805757,52.919654129424316,32.857780980545634
45047,14.861996374720245,63.5675925925926,0.1824114953805903,0.08146349439947674,0.023419180770174148,4,67.97462608,0.28729417055024115,False,True,False,greenwood,60.26824370227257,7.706382377727422,7.706382377727422,60.02757553106216,7.947050548937831,11.691201566279851
45045,14.559383202099738,61.4962962962963,0.1703749663350631,0.043134893699599844,0.01429966011630373,2,48.302584361,0.22780952015096667,True,False,False,greenville,45.41893978933654,2.88364457166346,2.88364457166346,45.152235697418384,3.1503486635816174,6.522112026215394
45043,17.975822050290134,65.17592592592592,0.10096487089977041,0.11632732647734063,0.006734597603547504,4,96.762452617,0.22402679498065853,False,True,False,georgetown,90.52983315089578,6.232619466104211,6.232619466104211,88.56425690923041,8.198195707769585,8.472496806399946
45041,14.648475533314306,65.3,0.2094993707675385,0.12233872412301051,0.018221737974465777,3,79.139459245,0.3500598328650148,True,False,False,florence,68.4831577511334,10.656301493866593,10.656301493866593,68.09805588744229,11.041403357557712,13.951830683320349
45039,14.389136441076236,63.36296296296296,0.16840965523827717,0.184881577690765,0.01134132365581129,2,85.94259228,0.3646325565848535,True,False,False,fairfield,59.85148327646033,26.09110900353967,26.09110900353967,58.736756065626544,27.205836214373456,31.655824536612936
45037,14.882993222363424,64.79074074074073,0.1063857650313477,0.12594804301920148,0.04115700044197809,2,63.65398347,0.27349080849252727,True,False,False,edgefield,60.00396936374855,3.6500141062514473,3.6500141062514473,59.86932757904342,3.7846558909565786,5.945670144493439
45035,15.648648061680854,66.62314814814815,0.10213668916893093,0.05859435621646023,0.003970078242304642,2,83.439143842,0.1647011236276958,True,False,False,dorchester,62.037859334878874,21.40128450712112,21.40128450712112,59.92725201034663,23.511891831653365,28.178491232095315
45033,14.166537507717734,64.75092592592593,0.3533192158713305,0.24337053422206492,0.012216520183251737,6,124.4433516,0.6089062702766471,False,True,False,dillon,98.5942866914611,25.849064908538907,25.849064908538907,95.85536431241844,28.587987287581555,22.97269152591801
45031,12.959053743536812,64.56666666666666,0.2130937180316917,0.1810636547735861,0.013965385498653416,3,64.29873122,0.4081227583039312,True,False,False,darlington,57.269072584208885,7.029658635791108,7.029658635791108,56.47722392874297,7.821507291257021,12.164326018340088
45029,15.654308902668324,66.52407407407408,0.2019443319575578,0.3118189162824935,0.010132357722928509,6,123.1944638,0.5238956059629798,False,True,False,colleton,115.99188323188692,7.202580568113078,7.202580568113078,115.01787978058341,8.17658401941658,6.637135929006398
45027,14.984070253762578,65.3425925925926,0.16031511728652567,0.2559285049578025,0.0628662195552418,8,116.569126,0.47910984179957,False,True,False,clarendon,98.0783112718435,18.490814728156494,18.490814728156494,96.37620956092708,20.192916439072917,17.32269695414283
45025,11.17231638418079,63.44537037037038,0.1923344227437392,0.25965900141754605,0.015262246022995746,6,41.294710633,0.467255670184281,False,True,False,chesterfield,49.88169074913265,-8.58698011613265,8.58698011613265,54.185069673508565,12.890359040508564,31.21552092971307
